id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
241756,3790,KPRX,6002.0,150.0,ASP,1,0,17,33.644798278808594,-95.45439910888672,541.0,179,,35,33.628299713134766,-95.4541015625,526.0,359,
243753,20868,KPRZ,5700.0,60.0,ASP,1,0,01,34.13809967041016,-103.41500091552734,4078.0,23,,19,34.15250015258789,-103.40799713134766,4044.0,203,
243754,20868,KPRZ,4560.0,60.0,ASP,1,0,08,34.14569854736328,-103.41600036621094,4066.0,90,,26,34.14569854736328,-103.4010009765625,4058.0,270,
243928,20869,KPSB,5006.0,100.0,ASP,1,0,06,40.87779998779297,-78.09429931640625,1867.0,50,,24,40.88669967651367,-78.08049774169922,1917.0,230,
243929,20869,KPSB,5711.0,100.0,ASP,1,0,16,40.89339828491211,-78.09149932861328,1948.0,156,,34,40.87910079956055,-78.08309936523438,1922.0,336,
243330,20870,KPSC,7711.0,150.0,ASP,1,0,03L,46.25600051879883,-119.13300323486328,406.0,46,,21R,46.27069854736328,-119.11199951171876,398.0,226,600.0
243329,20870,KPSC,4423.0,75.0,ASP,0,0,03R,46.26070022583008,-119.12200164794922,399.0,46,,21L,46.26910018920898,-119.10900115966795,400.0,226,
243331,20870,KPSC,7703.0,150.0,ASP,1,0,12,46.27349853515625,-119.12799835205078,392.0,136,,30,46.25830078125,-119.10700225830078,399.0,316,200.0
241372,20871,KPSF,5001.0,100.0,ASP,1,0,08,42.42380142211914,-73.30239868164062,1194.0,64,,26,42.4296989440918,-73.28569793701172,1144.0,244,
241373,20871,KPSF,3496.0,100.0,ASP,1,0,14,42.42959976196289,-73.29669952392578,1171.0,123,,32,42.42440032958984,-73.28579711914062,1142.0,303,
240620,20872,KPSK,6201.0,150.0,ASP,1,0,06,37.13209915161133,-80.68689727783203,2105.0,52,,24,37.1426010131836,-80.67009735107422,2073.0,232,
244494,3791,KPSM,11321.0,150.0,PEM,1,0,16,43.09130096435547,-70.83409881591797,97.0,149,803.0,34,43.06460189819336,-70.8124008178711,84.0,329,
245847,20873,KPSN,4003.0,75.0,ASP,1,0,09,31.777099609375,-95.71269989013672,423.0,91,,27,31.777000427246094,-95.69979858398438,388.0,271,
245848,20873,KPSN,5005.0,100.0,ASP,1,0,18,31.78870010375977,-95.706298828125,413.0,180,,36,31.774999618530277,-95.7063980102539,410.0,0,
241792,18627,KPSO,8098.0,100.0,ASP,1,0,01,37.276100158691406,-107.06199645996094,7624.0,24,,19,37.2963981628418,-107.0500030517578,7659.0,204,
245498,3792,KPSP,4952.0,75.0,ASP,1,0,13L,33.835201263427734,-116.51000213623048,449.0,144,,31R,33.82419967651367,-116.5,407.0,324,
